lote_id,fecha_inicio,fecha_fin,actividad,area,duracion_min,rendimiento_kg,humedad_pct,defectos_kg,motivo_parada,operadores,notas
L-1118,2025-09-28T05:15:55.296317,2025-09-28T07:16:55.296317,Molienda,Molienda,134,809,12.52,0,,4,
L-1119,2025-10-16T02:25:55.296317,2025-10-16T04:22:55.296317,Molienda,Molienda,115,874,10.31,0,,6,
L-1120,2025-10-18T02:16:55.296317,2025-10-18T04:19:55.296317,Molienda,Molienda,116,903,13.84,0,,4,
L-1121,2025-09-30T04:39:55.296317,2025-09-30T06:32:55.296317,Molienda,Molienda,121,916,14.17,0,,5,
L-1122,2025-10-01T00:05:55.296317,2025-10-01T02:24:55.296317,Molienda,Molienda,107,872,12.47,50,,6,Defectos detectados
L-1123,2025-10-13T12:43:55.296317,2025-10-13T14:54:55.296317,Molienda,Molienda,122,906,13.82,0,,3,
L-1124,2025-10-09T09:15:55.296317,2025-10-09T11:05:55.296317,Molienda,Molienda,107,917,17.43,0,,5,Humedad alta
L-1125,2025-10-19T17:47:55.296317,2025-10-19T20:21:55.296317,Molienda,Molienda,129,975,9.22,0,,4,
L-1126,2025-10-09T18:53:55.296317,2025-10-09T21:05:55.296317,Molienda,Molienda,120,856,16.68,0,,2,Humedad alta
L-1127,2025-10-20T02:01:55.296317,2025-10-20T03:56:55.296317,Molienda,Molienda,144,988,10.19,0,,3,
L-1128,2025-09-23T22:18:55.296317,2025-09-24T00:12:55.296317,Molienda,Molienda,123,959,13.47,0,,3,
L-1129,2025-10-06T16:49:55.296317,2025-10-06T20:01:55.296317,Molienda,Molienda,134,976,10.64,0,falla_electrica,3,
L-1130,2025-10-01T22:33:55.296317,2025-10-02T00:42:55.296317,Molienda,Molienda,106,955,11.18,0,,4,
L-1131,2025-09-29T23:41:55.296317,2025-09-30T01:33:55.296317,Molienda,Molienda,119,846,12.28,0,,6,
L-1132,2025-09-29T06:25:55.296317,2025-09-29T08:19:55.296317,Molienda,Molienda,123,887,11.63,0,,4,
L-1133,2025-10-14T23:03:55.296317,2025-10-15T00:55:55.296317,Molienda,Molienda,138,893,12.3,0,,5,
L-1134,2025-10-15T12:06:55.296317,2025-10-15T14:01:55.296317,Molienda,Molienda,102,880,15.7,0,,3,Humedad alta
L-1135,2025-10-01T05:10:55.296317,2025-10-01T07:25:55.296317,Molienda,Molienda,130,872,11.3,0,,6,
L-1136,2025-09-24T16:30:55.296317,2025-09-24T18:35:55.296317,Molienda,Molienda,126,864,11.8,0,,6,
L-1137,2025-10-18T16:36:55.296317,2025-10-18T18:51:55.296317,Molienda,Molienda,136,849,12.86,0,,3,
L-1138,2025-09-25T16:26:55.296317,2025-09-25T18:35:55.296317,Molienda,Molienda,128,879,13.38,0,,4,
L-1139,2025-09-30T08:52:55.296317,2025-09-30T11:07:55.296317,Molienda,Molienda,121,998,14.5,0,,3,
L-1140,2025-09-24T23:52:55.296317,2025-09-25T02:00:55.296317,Molienda,Molienda,114,974,11.05,0,,5,
L-1141,2025-09-29T02:25:55.296317,2025-09-29T03:57:55.296317,Molienda,Molienda,107,870,12.76,0,,6,
L-1142,2025-10-05T07:23:55.296317,2025-10-05T09:41:55.296317,Molienda,Molienda,122,813,11.92,0,,6,
L-1143,2025-09-29T00:36:55.296317,2025-09-29T02:19:55.296317,Molienda,Molienda,118,904,10.43,0,,5,
L-1144,2025-10-19T15:34:55.296317,2025-10-19T17:26:55.296317,Molienda,Molienda,141,1007,11.5,0,,4,
L-1145,2025-10-17T17:34:55.296317,2025-10-17T19:32:55.296317,Molienda,Molienda,114,898,13.92,0,,2,
L-1146,2025-10-18T04:22:55.296317,2025-10-18T06:13:55.296317,Molienda,Molienda,123,904,12.25,0,,2,
L-1147,2025-10-16T08:11:55.296317,2025-10-16T10:07:55.296317,Molienda,Molienda,103,834,9.49,0,,3,
L-1148,2025-09-27T16:50:55.296317,2025-09-27T18:44:55.296317,Molienda,Molienda,116,878,12.31,0,,2,
L-1149,2025-09-28T12:59:55.296317,2025-09-28T15:11:55.296317,Molienda,Molienda,123,873,11.97,0,,4,
L-1150,2025-09-26T14:08:55.296317,2025-09-26T16:03:55.296317,Molienda,Molienda,129,834,12.87,0,,4,
L-1151,2025-10-18T08:31:55.296317,2025-10-18T10:42:55.296317,Molienda,Molienda,135,969,9.83,0,,4,
L-1152,2025-10-10T13:54:55.296317,2025-10-10T15:32:55.296317,Molienda,Molienda,120,882,11.38,0,,2,
L-1153,2025-09-29T08:22:55.296317,2025-09-29T10:14:55.296317,Molienda,Molienda,108,855,10.27,0,,2,
L-1154,2025-10-03T03:17:55.296317,2025-10-03T05:14:55.296317,Molienda,Molienda,125,939,12.17,0,,2,
L-1155,2025-09-26T11:41:55.296317,2025-09-26T13:27:55.296317,Molienda,Molienda,125,915,8.96,0,,5,
L-1156,2025-10-03T08:56:55.296317,2025-10-03T10:57:55.296317,Molienda,Molienda,125,900,13.47,0,,5,
L-1157,2025-10-06T13:12:55.296317,2025-10-06T15:06:55.296317,Molienda,Molienda,113,935,15.84,0,,3,Humedad alta
L-1158,2025-10-12T07:07:55.296317,2025-10-12T09:11:55.296317,Molienda,Molienda,132,953,15.23,0,,2,Humedad alta
L-1159,2025-10-08T02:04:55.296317,2025-10-08T04:23:55.296317,Molienda,Molienda,121,857,10.45,0,,5,
L-1160,2025-10-20T08:18:55.296317,2025-10-20T10:26:55.296317,Molienda,Molienda,127,917,8.21,0,,6,
L-1161,2025-10-11T23:01:55.296317,2025-10-12T01:43:55.296317,Molienda,Molienda,134,1020,12.65,0,atasco,2,
L-1162,2025-10-18T03:13:55.296317,2025-10-18T05:04:55.296317,Molienda,Molienda,126,895,11.29,0,,5,
L-1163,2025-10-09T18:45:55.296317,2025-10-09T21:01:55.296317,Molienda,Molienda,123,919,12.56,0,,3,
L-1164,2025-10-11T20:48:55.296317,2025-10-11T23:06:55.296317,Molienda,Molienda,143,998,10.6,0,,4,
L-1165,2025-10-11T12:16:55.296317,2025-10-11T14:08:55.296317,Molienda,Molienda,123,842,12.67,58,,5,Defectos detectados
L-1166,2025-09-26T16:20:55.296317,2025-09-26T18:07:55.296317,Molienda,Molienda,117,925,9.91,0,,2,
L-1167,2025-10-03T04:35:55.296317,2025-10-03T06:36:55.296317,Molienda,Molienda,121,849,12.37,0,,6,
L-1168,2025-09-26T02:44:55.296317,2025-09-26T04:38:55.296317,Molienda,Molienda,136,915,10.5,0,,6,
L-1169,2025-10-18T04:37:55.296317,2025-10-18T06:40:55.296317,Molienda,Molienda,121,739,8.1,0,,2,
L-1170,2025-10-06T21:13:55.296317,2025-10-06T23:07:55.296317,Molienda,Molienda,126,873,12.31,0,,3,
L-1171,2025-10-21T11:27:55.296317,2025-10-21T13:28:55.296317,Molienda,Molienda,133,974,12.24,0,,5,
L-1172,2025-10-05T00:04:55.296317,2025-10-05T01:53:55.296317,Molienda,Molienda,115,736,16.8,0,,5,Humedad alta
L-1173,2025-10-01T09:49:55.296317,2025-10-01T11:53:55.296317,Molienda,Molienda,102,825,13.9,0,,3,
L-1174,2025-10-09T01:47:55.296317,2025-10-09T03:23:55.296317,Molienda,Molienda,123,824,11.29,0,,6,
L-1175,2025-09-28T08:06:55.296317,2025-09-28T10:01:55.296317,Molienda,Molienda,122,991,10.67,0,,2,
L-1176,2025-10-19T08:05:55.296317,2025-10-19T10:10:55.296317,Molienda,Molienda,114,958,8.19,0,,3,
L-1177,2025-10-03T14:31:55.296317,2025-10-03T16:28:55.296317,Molienda,Molienda,129,850,15.21,0,,5,Humedad alta
L-1178,2025-09-24T03:47:55.296317,2025-09-24T05:45:55.296317,Molienda,Molienda,126,853,13.84,0,,3,
L-1179,2025-09-28T01:32:55.296317,2025-09-28T03:16:55.296317,Molienda,Molienda,109,903,8.0,0,,6,
L-1180,2025-10-18T02:03:55.296317,2025-10-18T04:16:55.296317,Molienda,Molienda,125,963,13.71,0,,5,
L-1181,2025-10-06T01:58:55.296317,2025-10-06T03:53:55.296317,Molienda,Molienda,118,852,14.65,0,,2,
L-1182,2025-10-05T02:43:55.296317,2025-10-05T05:03:55.296317,Molienda,Molienda,104,948,13.41,0,,6,
L-1183,2025-10-14T04:07:55.296317,2025-10-14T06:01:55.296317,Molienda,Molienda,125,923,15.98,0,,4,Humedad alta
L-1184,2025-09-24T00:55:55.296317,2025-09-24T02:56:55.296317,Molienda,Molienda,120,916,8.75,0,,3,
L-1185,2025-10-04T13:40:55.296317,2025-10-04T15:19:55.296317,Molienda,Molienda,112,889,8.59,0,,3,
L-1186,2025-10-12T19:25:55.296317,2025-10-12T21:33:55.296317,Molienda,Molienda,126,803,9.11,0,,6,
L-1187,2025-10-02T11:42:55.296317,2025-10-02T13:44:55.296317,Molienda,Molienda,125,1056,14.5,0,,5,
L-1188,2025-09-29T04:47:55.296317,2025-09-29T06:44:55.296317,Molienda,Molienda,114,836,10.31,0,,4,
L-1189,2025-09-30T13:06:55.296317,2025-09-30T15:10:55.296317,Molienda,Molienda,124,799,11.33,0,,5,
L-1190,2025-10-01T04:28:55.296317,2025-10-01T06:20:55.296317,Molienda,Molienda,131,1038,10.47,0,,5,
L-1191,2025-10-06T19:17:55.296317,2025-10-06T21:00:55.296317,Molienda,Molienda,112,1072,16.36,0,,4,Humedad alta
L-1192,2025-10-10T04:38:55.296317,2025-10-10T06:35:55.296317,Molienda,Molienda,124,803,11.26,0,,5,
L-1193,2025-09-30T21:09:55.296317,2025-09-30T23:04:55.296317,Molienda,Molienda,120,920,15.37,0,,6,Humedad alta
L-1194,2025-10-07T20:07:55.296317,2025-10-07T22:02:55.296317,Molienda,Molienda,144,926,10.98,0,,6,
L-1195,2025-09-29T16:56:55.296317,2025-09-29T18:42:55.296317,Molienda,Molienda,100,945,13.21,0,,4,
L-1196,2025-09-27T13:33:55.296317,2025-09-27T15:46:55.296317,Molienda,Molienda,127,939,8.64,0,,2,
L-1197,2025-10-10T04:28:55.296317,2025-10-10T06:32:55.296317,Molienda,Molienda,117,952,10.38,0,,3,
L-1198,2025-10-08T04:37:55.296317,2025-10-08T06:27:55.296317,Molienda,Molienda,119,943,11.31,0,,5,
L-1199,2025-09-28T07:56:55.296317,2025-09-28T10:00:55.296317,Molienda,Molienda,140,868,12.24,0,,5,
L-1200,2025-10-01T12:24:55.296317,2025-10-01T14:37:55.296317,Molienda,Molienda,120,955,8.7,0,,3,
